id,path,labels
50,images/14450618158_e971980696.jpg,"[{'id': 'white', 'type': 'poly', 'xn': '0.640098926366;471.112809805;460.871226984;1.9202967791', 'yn': '68.4905851212;81.2925636485;309.167781435;366.136585881', 'class': 'whiteboard'}, {'height': 44.16682591925718, 'x': 37.125737729230664, 'width': 211.87274462716118, 'y': 132.5004777577715, 'class': 'text', 'type': 'rect'}]"
51,images/11792658904_2286e25a26.jpg,"[{'id': 'white', 'type': 'poly', 'xn': '5.32052753485;315.43127528;287.308486882;42.5642202788', 'yn': '100.3299478;103.370249249;428.682504237;418.801524529', 'class': 'whiteboard'}, {'height': 41.80414491668934, 'x': 7.600753621216243, 'width': 245.50434196528462, 'y': 121.61205793945989, 'class': 'text', 'type': 'rect'}, {'height': 38.003768106081196, 'x': 27.362713036378473, 'width': 234.8632868955819, 'y': 167.97665502887898, 'class': 'text', 'type': 'rect'}, {'height': 44.84444636517583, 'x': 19.76195941516223, 'width': 274.38720572590637, 'y': 208.26064922132505, 'class': 'text', 'type': 'rect'}, {'height': 45.604521727297424, 'x': 28.882863760621724, 'width': 253.8651709486225, 'y': 256.1453970349874, 'class': 'text', 'type': 'rect'}, {'height': 27.362713036378466, 'x': 32.683240571229845, 'width': 128.4527361985545, 'y': 304.03014484864974, 'class': 'text', 'type': 'rect'}, {'height': 33.44331593335147, 'x': 115.5314550424869, 'width': 116.29153040460852, 'y': 345.83428976533907, 'class': 'text', 'type': 'rect'}]"
52,images/9713062250_8f1bf15d5f.jpg,"[{'height': 316.2088696248322, 'type': 'rect', 'width': 186.2687875725226, 'x': 160.02473159151427, 'y': 20.483165643713825, 'class': 'text', 'id': 'text'}, {'height': 245.79798772456593, 'type': 'rect', 'width': 122.25889493591691, 'x': 6.400989263660563, 'y': 19.843066717347767, 'class': 'text', 'id': 'text'}, {'height': 360.3756955440901, 'type': 'rect', 'width': 99.85543251310492, 'x': 389.8202461569287, 'y': 17.28267101188354, 'class': 'text', 'id': 'text'}, {'height': 42.41935585027886, 'x': 397.1173739175046, 'width': 80.3260142696771, 'y': 377.2615052216294, 'class': 'text', 'type': 'rect'}, {'id': 'white', 'type': 'poly', 'xn': '16.2457107512;484.663704077;482.858625104;15.343171265', 'yn': '406.142768779;445.854506171;12.6355528065;18.0507897235', 'class': 'whiteboard'}]"
53,images/51Al-CGQZPL._SL1500_.jpg,"[{'id': 'white', 'type': 'poly', 'xn': '81.293409;1424.036268;1424.036268;75.686967', 'yn': '305.551089;308.35431;1171.746378;1171.746378', 'class': 'whiteboard'}]"
54,images/31467395401_b0f9b500ff.jpg,"[{'id': 'white', 'type': 'poly', 'xn': '2.70761845853;493.689098938;493.689098938;5.41523691706', 'yn': '5.41523691706;5.41523691706;319.498978106;315.888820162', 'class': 'whiteboard'}, {'height': 9.025394861761352, 'x': 92.05902758996581, 'width': 279.7872407146019, 'y': 22.563487154403383, 'class': 'text', 'type': 'rect'}, {'height': 32.49142150234088, 'x': 44.224434822630634, 'width': 129.06314652318736, 'y': 51.44475071203971, 'class': 'text', 'type': 'rect'}, {'height': 140.79615984347708, 'x': 46.932053281159035, 'width': 147.11393624671007, 'y': 91.15648810378967, 'class': 'text', 'type': 'rect'}, {'height': 31.588882016164774, 'x': 48.737132253511305, 'width': 107.40219885496012, 'y': 243.68566126755653, 'class': 'text', 'type': 'rect'}, {'height': 16.002473159151336, 'x': 245.79798772456454, 'width': 184.3484907934234, 'y': 47.36732055108796, 'class': 'text', 'type': 'rect'}, {'height': 16.642572085517386, 'x': 292.52520934928646, 'width': 82.5727615012209, 'y': 74.25147545846221, 'class': 'text', 'type': 'rect'}, {'height': 11.521780674588953, 'x': 295.08560505475066, 'width': 33.2851441710348, 'y': 90.8940475439796, 'class': 'text', 'type': 'rect'}, {'height': 10.241582821856866, 'x': 295.7257039811167, 'width': 69.77078297389983, 'y': 108.17671855586303, 'class': 'text', 'type': 'rect'}, {'height': 69.13068404753379, 'x': 406.462818242444, 'width': 67.21038726843562, 'y': 72.9712776057301, 'class': 'text', 'type': 'rect'}, {'height': 48.64751840382007, 'x': 312.3682760666341, 'width': 146.58265413782624, 'y': 138.9014670214336, 'class': 'text', 'type': 'rect'}, {'height': 13.44207745368712, 'x': 322.609858888491, 'width': 20.483165643713676, 'y': 218.9138328171903, 'class': 'text', 'type': 'rect'}, {'height': 7.6811871163926355, 'x': 356.5351019858918, 'width': 51.207914109284275, 'y': 222.11432744902055, 'class': 'text', 'type': 'rect'}, {'height': 11.521780674588967, 'x': 425.0256871070595, 'width': 60.16929907840898, 'y': 223.39452530175265, 'class': 'text', 'type': 'rect'}, {'height': 60.80939800477509, 'x': 232.35591027087742, 'width': 144.02225843236204, 'y': 243.23759201910033, 'class': 'text', 'type': 'rect'}, {'height': 27.524253833740303, 'x': 238.75689953453795, 'width': 38.40593558196318, 'y': 84.49305828031906, 'class': 'text', 'type': 'rect'}, {'height': 23.043561349177935, 'x': 238.75689953453795, 'width': 40.32623236106136, 'y': 144.02225843236204, 'class': 'text', 'type': 'rect'}, {'height': 24.323759201910036, 'x': 237.47670168180585, 'width': 56.32870552021271, 'y': 196.5103703943784, 'class': 'text', 'type': 'rect'}, {'height': 8.961384969124751, 'x': 37.765836655597155, 'width': 9.601483895490802, 'y': 92.1742453967117, 'class': 'figure', 'type': 'rect'}, {'height': 10.881681748222917, 'x': 34.56534202376689, 'width': 11.52178067458896, 'y': 104.33612499766672, 'class': 'figure', 'type': 'rect'}, {'height': 10.241582821856852, 'x': 34.56534202376689, 'width': 10.241582821856852, 'y': 117.13810352498778, 'class': 'figure', 'type': 'rect'}, {'height': 11.521780674588939, 'x': 35.845539876499, 'width': 10.241582821856852, 'y': 129.94008205230887, 'class': 'figure', 'type': 'rect'}, {'height': 8.961384969124737, 'x': 39.046034508329264, 'width': 6.400989263660534, 'y': 142.74206057962994, 'class': 'figure', 'type': 'rect'}, {'height': 13.442077453687148, 'x': 37.765836655597155, 'width': 7.681187116392643, 'y': 154.26384125421887, 'class': 'figure', 'type': 'rect'}, {'height': 10.881681748222917, 'x': 34.56534202376689, 'width': 10.88168174822291, 'y': 170.26631441337022, 'class': 'figure', 'type': 'rect'}, {'height': 14.08217638005317, 'x': 35.20544095013294, 'width': 12.161879600955018, 'y': 183.70839186705734, 'class': 'figure', 'type': 'rect'}, {'height': 12.161879600955018, 'x': 35.845539876499, 'width': 10.241582821856852, 'y': 202.2712607316729, 'class': 'figure', 'type': 'rect'}, {'height': 16.6425720855174, 'x': 33.28514417103478, 'width': 19.202967790981603, 'y': 220.1940306699224, 'class': 'figure', 'type': 'rect'}, {'height': 13.442077453687148, 'x': 35.20544095013294, 'width': 14.082176380053177, 'y': 247.7182845036627, 'class': 'figure', 'type': 'rect'}, {'height': 43.52672699289164, 'x': 231.07571241814532, 'width': 51.207914109284275, 'y': 76.81187116392641, 'class': 'figure', 'type': 'rect'}, {'height': 39.68613343469531, 'x': 234.27620704997557, 'width': 52.488111962016404, 'y': 136.3410713159694, 'class': 'figure', 'type': 'rect'}, {'height': 35.845539876499004, 'x': 227.87521778631503, 'width': 74.89157438482829, 'y': 191.38957898344998, 'class': 'figure', 'type': 'rect'}, {'height': 23.043561349177907, 'x': 425.66578603342555, 'width': 26.244055981008216, 'y': 199.07076609984264, 'class': 'figure', 'type': 'rect'}, {'height': 24.323759201910036, 'x': 453.83013879353194, 'width': 25.603957054642137, 'y': 197.15046932074446, 'class': 'figure', 'type': 'rect'}, {'height': 15.3623742327853, 'x': 325.1702545939552, 'width': 19.202967790981575, 'y': 202.2712607316729, 'class': 'figure', 'type': 'rect'}, {'height': 16.6425720855174, 'x': 368.05688266048077, 'width': 16.642572085517372, 'y': 204.19155751077105, 'class': 'figure', 'type': 'rect'}, {'height': 13.44207745368712, 'x': 395.581136494221, 'width': 14.722275306419249, 'y': 208.67224999533343, 'class': 'figure', 'type': 'rect'}, {'height': 4.4806924845623755, 'x': 92.1742453967117, 'width': 279.0831318955993, 'y': 31.36484739193662, 'class': 'figure', 'type': 'rect'}, {'height': 5.120791410928433, 'x': 45.4470237719898, 'width': 128.65988419957677, 'y': 83.21286042758695, 'class': 'figure', 'type': 'rect'}, {'height': 8.961384969124765, 'x': 34.56534202376689, 'width': 12.161879600955018, 'y': 236.19650382907372, 'class': 'figure', 'type': 'rect'}, {'height': 11.803242613842116, 'x': 280.1000266438688, 'width': 14.527067832421096, 'y': 76.26710612021063, 'class': 'figure', 'type': 'rect'}, {'height': 8.961384969124751, 'x': 239.396998460904, 'width': 188.82918327798575, 'y': 63.36979371023929, 'class': 'figure', 'type': 'rect'}, {'height': 7.041088190026599, 'x': 278.4430329692333, 'width': 15.362374232785271, 'y': 92.81434432307775, 'class': 'figure', 'type': 'rect'}, {'height': 9.601483895490802, 'x': 277.8029340428672, 'width': 13.442077453687148, 'y': 103.05592714493461, 'class': 'figure', 'type': 'rect'}, {'height': 8.321286042758686, 'x': 325.8103535203212, 'width': 44.80692484562377, 'y': 90.25394861761355, 'class': 'figure', 'type': 'rect'}, {'height': 64.00989263660536, 'x': 366.1365858813826, 'width': 39.046034508329285, 'y': 72.9712776057301, 'class': 'figure', 'type': 'rect'}, {'height': 7.041088190026585, 'x': 285.48412115925987, 'width': 23.683660275543957, 'y': 140.1816648741657, 'class': 'figure', 'type': 'rect'}, {'height': 7.6811871163926355, 'x': 282.2836265274296, 'width': 28.80445168647242, 'y': 151.06334662238862, 'class': 'figure', 'type': 'rect'}, {'height': 12.801978527321069, 'x': 284.20392330652777, 'width': 26.88415490737424, 'y': 160.02473159151336, 'class': 'figure', 'type': 'rect'}, {'height': 16.00247315915135, 'x': 283.5638243801617, 'width': 24.323759201910036, 'y': 165.78562192880784, 'class': 'figure', 'type': 'rect'}, {'height': 15.362374232785271, 'x': 297.00590183384884, 'width': 78.09206901665851, 'y': 188.18908435161973, 'class': 'figure', 'type': 'rect'}, {'height': 11.521780674588939, 'x': 295.7257039811167, 'width': 30.08464953920452, 'y': 205.47175536350318, 'class': 'figure', 'type': 'rect'}, {'height': 16.6425720855174, 'x': 282.9237254537956, 'width': 33.92524309740088, 'y': 220.83412959628845, 'class': 'figure', 'type': 'rect'}, {'height': 11.521780674588967, 'x': 311.72817714026803, 'width': 113.93760889315752, 'y': 229.15541563904713, 'class': 'figure', 'type': 'rect'}, {'height': 7.320876512156474, 'x': 225.5914540042291, 'width': 7.863163661205107, 'y': 244.30036064640674, 'class': 'figure', 'type': 'rect'}, {'height': 6.778589363107841, 'x': 226.40488472780203, 'width': 7.5920200866808045, 'y': 252.43466788213615, 'class': 'figure', 'type': 'rect'}, {'height': 6.7785893631078125, 'x': 226.67602830232636, 'width': 7.049732937632143, 'y': 262.4669801395358, 'class': 'figure', 'type': 'rect'}, {'height': 7.320876512156474, 'x': 227.21831545137496, 'width': 9.490025108351006, 'y': 273.31272312050834, 'class': 'figure', 'type': 'rect'}, {'height': 8.676594384778014, 'x': 227.21831545137496, 'width': 7.863163661205107, 'y': 283.34503537790795, 'class': 'figure', 'type': 'rect'}, {'height': 7.320876512156474, 'x': 227.4894590258993, 'width': 10.845742980972545, 'y': 293.64849120983183, 'class': 'figure', 'type': 'rect'}]"
55,images/Whiteboard.jpg,"[{'id': 'white', 'type': 'poly', 'xn': '300.753414797;2596.64567986;2558.52200757;334.641123506', 'yn': '296.517451208;309.225341974;1745.21699854;1728.27314418', 'class': 'whiteboard'}]"
56,images/9458102055_3405dee2cd.jpg,"[{'id': 'white', 'type': 'poly', 'xn': '42.5642202788;304.030144849;296.429391227;47.8847478137', 'yn': '80.5679883849;76.0075362122;437.803408582;443.123936117', 'class': 'whiteboard'}, {'height': 303.2700694865274, 'type': 'rect', 'width': 243.2241158789192, 'x': 60.04595360760819, 'y': 128.45273619855422, 'class': 'text', 'id': 'text'}]"
57,images/9349975646_05509953fe.jpg,"[{'id': 'white', 'type': 'poly', 'xn': '1.52015072424;142.894168079;147.454620252;1.52015072424', 'yn': '114.77137968;118.571756491;370.916776715;371.676852077', 'class': 'whiteboard'}, {'height': 31.92316520910815, 'type': 'rect', 'width': 45.60452172729735, 'x': 2.28022608636487, 'y': 118.57175649097313, 'class': 'text', 'id': 'text'}, {'height': 202.1800463243516, 'type': 'rect', 'width': 82.84821447125687, 'x': 0.0, 'y': 168.73673039100024, 'class': 'text', 'id': 'text'}]"
58,images/17778256928_e00d85a733.jpg,"[{'id': 'white', 'type': 'poly', 'xn': '86.6437906729;334.842149371;335.744688858;85.7412511867', 'yn': '134.47838344;132.673304468;284.299938145;284.299938145', 'class': 'whiteboard'}, {'height': 59.567606087624654, 'x': 162.4571075117036, 'width': 79.42347478349953, 'y': 138.99108087112418, 'class': 'text', 'type': 'rect'}, {'height': 54.15236917056785, 'x': 168.7748839149365, 'width': 72.2031588940905, 'y': 200.3637659311011, 'class': 'figure', 'type': 'rect'}]"
59,images/12885419534_d2018a6493.jpg,"[{'id': 'white', 'type': 'poly', 'xn': '76.2671061202;384.967297559;384.967297559;84.4385817759', 'yn': '38.1335530601;32.2319317532;227.439405751;239.696619235', 'class': 'whiteboard'}, {'height': 19.520747399815875, 'x': 79.44490220855296, 'width': 131.65155223131632, 'y': 39.495465669394896, 'class': 'text', 'type': 'rect'}, {'height': 21.790601748631673, 'x': 81.71475655736876, 'width': 180.6804061657376, 'y': 58.56224219944761, 'class': 'text', 'type': 'rect'}, {'height': 14.981038702184264, 'x': 81.26078568760559, 'width': 116.21654265936891, 'y': 80.35284394807928, 'class': 'text', 'type': 'rect'}, {'height': 17.250893051000062, 'x': 80.35284394807928, 'width': 16.34295131147374, 'y': 100.32756221765831, 'class': 'text', 'type': 'rect'}, {'height': 24.67406528171263, 'x': 93.0022460618399, 'width': 44.738689796511906, 'y': 114.15144487473644, 'class': 'figure', 'type': 'rect'}]"
